A,B,C,D,E,F,G,H,J,K,L,M,N,O,P,Q,CLASS
100.0653118,100.0073071,9.068252314,3.768768292,44.0463557,38.01097382,0,0,0,0,0,0,0,0,0,0,0
100.0000856,99.97023871,8.828075278,3.968209964,44.05826604,38.08120823,0,0,0,0,0,0,0,0,0,0,0
100.0012271,100.0361052,8.750947569,3.84446243,44.09695111,38.15682564,0,0,0,0,0,0,0,0,0,0,0
99.91493879,99.99782175,8.800757821,3.891384715,43.95572608,37.9959428,0,0,0,0,0,0,0,0,0,0,0
100.0592134,100.1679963,8.945345626,3.861545206,44.00200645,37.94943625,0,0,0,0,0,0,0,0,0,0,0
99.95477055,100.0015688,9.002938362,3.804072844,43.93116626,37.9763464,0,0,0,0,0,0,0,0,0,0,0
100.0385462,100.1127025,8.783085017,3.879925613,43.94347918,38.07695333,0,0,0,0,0,0,0,0,0,0,0
99.94719902,100.0222488,9.008954755,3.841501714,43.94847282,38.14763494,0,0,0,0,0,0,0,0,0,0,0
100.0978254,100.0330476,8.717322971,3.898210917,43.99918287,37.81518965,0,0,0,0,0,0,0,0,0,0,0
99.92086454,99.79608495,8.906364433,3.691847464,44.08188722,38.08252025,0,0,0,0,0,0,0,0,0,0,0
99.98375502,100.0304635,8.906659217,3.921217812,43.9801176,38.08054258,0,0,0,0,0,0,0,0,0,0,0
100.0119845,100.1756655,8.792908511,3.759361668,44.07198578,38.08772962,0,0,0,0,0,0,0,0,0,0,0
99.9645772,99.85073121,8.88957974,3.888245615,43.93704322,38.02809625,0,0,0,0,0,0,0,0,0,0,0
99.80085369,99.97667882,8.858730472,4.016248766,43.88388876,38.03853506,0,0,0,0,0,0,0,0,0,0,0
99.97840815,100.0406763,8.943143084,3.600794777,44.15445571,37.94152944,0,0,0,0,0,0,0,0,0,0,0
100.0226963,100.3437953,8.801732354,3.721469009,44.02262919,38.12625727,0,0,0,0,0,0,0,0,0,0,0
99.972177,99.85640962,9.076878565,3.726701355,43.96745034,37.96261286,0,0,0,0,0,0,0,0,0,0,0
100.0445867,99.99720314,8.755672068,3.855512206,43.94359171,38.14248333,0,0,0,0,0,0,0,0,0,0,0
100.1360091,99.99913902,8.826784906,3.725136284,44.02053553,38.06131939,0,0,0,0,0,0,0,0,0,0,0
99.97144105,99.93036247,8.765545752,3.863225941,43.96236134,37.92229198,0,0,0,0,0,0,0,0,0,0,0
100.0013931,99.89806591,8.771620906,3.771723497,44.06219677,38.00843868,0,0,0,0,0,0,0,0,0,0,0
99.90294517,99.80734708,8.872433004,3.855316094,43.83250227,37.9831615,0,0,0,0,0,0,0,0,0,0,0
99.80813143,99.90066383,8.806981737,3.725845161,43.93961428,38.06964666,0,0,0,0,0,0,0,0,0,0,0
100.1592308,100.0163503,8.928135164,3.856190775,44.10101464,37.90188548,0,0,0,0,0,0,0,0,0,0,0
99.77128809,99.90450094,8.81387927,3.767582845,44.06449339,38.12278333,0,0,0,0,0,0,0,0,0,0,0
100.0992039,100.0803051,8.810632834,3.776427664,44.02329657,37.94583567,0,0,0,0,0,0,0,0,0,0,0
100.0010302,100.042687,8.757168885,3.868251702,44.15484144,37.93921999,0,0,0,0,0,0,0,0,0,0,0
100.0231532,100.0783901,8.764350848,3.72822708,43.98714936,37.97465338,0,0,0,0,0,0,0,0,0,0,0
99.97208575,99.86996979,8.710910386,3.84460746,44.14366662,37.81693204,0,0,0,0,0,0,0,0,0,0,0
100.0726742,100.074547,8.988707986,3.748371488,44.28687387,37.97928258,0,0,0,0,0,0,0,0,0,0,0
99.84794878,100.0776418,8.805298687,3.746803847,43.83614817,37.93786981,0,0,0,0,0,0,0,0,0,0,0
100.0047812,99.97939311,8.892329621,3.865742535,44.04925185,37.99715842,0,0,0,0,0,0,0,0,0,0,0
100.0865979,100.0878445,8.764225985,3.839313813,44.04298179,37.88448604,0,0,0,0,0,0,0,0,0,0,0
99.98836215,99.95777596,8.754015457,3.705474604,44.18589386,38.11056583,0,0,0,0,0,0,0,0,0,0,0
99.91301726,100.0050973,8.934296331,3.68857234,44.05771624,38.11528902,0,0,0,0,0,0,0,0,0,0,0
100.2017343,99.87079275,8.89136654,3.724915607,43.99843961,38.08804816,0,0,0,0,0,0,0,0,0,0,0
99.99463288,100.0112945,8.729707221,3.995987359,43.92976843,37.89656422,0,0,0,0,0,0,0,0,0,0,0
99.94250708,100.1138392,8.970240116,3.715609003,44.03919966,37.9469641,0,0,0,0,0,0,0,0,0,0,0
99.96334252,100.2065897,8.670482199,3.87787384,44.14955487,37.94561984,0,0,0,0,0,0,0,0,0,0,0
100.0275668,100.036329,8.843707229,3.677505865,43.91549981,38.02953713,0,0,0,0,0,0,0,0,0,0,0
99.9207826,100.0087283,8.883268779,3.747519766,43.92813023,38.14445585,0,0,0,0,0,0,0,0,0,0,0
100.0222153,100.1422761,9.024835843,4.001670997,44.10938012,37.97193602,0,0,0,0,0,0,0,0,0,0,0
99.78925266,100.0045217,8.814779134,3.848706669,43.94822454,37.94552233,0,0,0,0,0,0,0,0,0,0,0
99.92068904,99.94097002,8.807955381,3.721090305,44.08319085,37.99316733,0,0,0,0,0,0,0,0,0,0,0
99.9433931,99.87942612,8.86802607,3.735980395,43.97176067,38.00427136,0,0,0,0,0,0,0,0,0,0,0
99.90837076,99.86061559,9.139660785,3.791303943,44.05946016,37.84800076,0,0,0,0,0,0,0,0,0,0,0
100.113229,99.88535286,9.02285776,3.817075389,43.99589215,38.0521831,0,0,0,0,0,0,0,0,0,0,0
100.0480319,100.182011,8.84594338,3.83169505,43.99184091,38.05053713,0,0,0,0,0,0,0,0,0,0,0
99.88287437,100.0013238,8.807411514,3.988665351,44.2164802,37.95487628,0,0,0,0,0,0,0,0,0,0,0
99.79791436,100.306451,8.824387569,3.831366772,44.11734783,37.97003973,0,0,0,0,0,0,0,0,0,0,0
100.0342763,100.0707644,8.812269849,3.796488998,44.093764,38.12256989,0,0,0,0,0,0,0,0,0,0,0
99.93780411,100.1193123,8.767139721,3.776176538,44.13494298,37.9521723,0,0,0,0,0,0,0,0,0,0,0
99.99079305,99.95019917,8.793666999,4.175134568,44.05352721,38.2614216,0,0,0,0,0,0,0,0,0,0,0
100.0248821,100.0364262,8.668887193,3.862236632,44.26173648,38.0143987,0,0,0,0,0,0,0,0,0,0,0
99.966352,100.1048559,8.944447355,3.898026234,43.87491298,37.96646546,0,0,0,0,0,0,0,0,0,0,0
100.1948378,100.1133148,8.964150859,3.74874145,44.01116392,38.08406582,0,0,0,0,0,0,0,0,0,0,0
100.1066666,99.94425543,9.083505645,3.854182954,43.92655802,38.27956123,0,0,0,0,0,0,0,0,0,0,0
100.0024734,99.9555115,8.754832567,3.75230741,43.9542235,38.14867073,0,0,0,0,0,0,0,0,0,0,0
99.97962308,99.81681201,8.930690069,3.700767284,44.01584279,38.03194088,0,0,0,0,0,0,0,0,0,0,0
99.98676561,99.95928841,8.799745615,3.925568096,43.8838217,37.8364996,0,0,0,0,0,0,0,0,0,0,0
99.95019612,100.0394035,8.895747263,3.867867642,43.98706196,37.86256461,0,0,0,0,0,0,0,0,0,0,0
99.9237342,99.9729173,8.86371803,4.019428816,43.93057023,38.02533346,0,0,0,0,0,0,0,0,0,0,0
100.1203848,99.96982654,8.938270329,3.671039528,43.73440948,38.07973313,0,0,0,0,0,0,0,0,0,0,0
99.95847858,100.0528388,8.918039561,3.742837096,44.02418304,38.10994338,0,0,0,0,0,0,0,0,0,0,0
100.0173314,99.9858134,8.915098691,3.928546589,43.84518506,38.04418553,0,0,0,0,0,0,0,0,0,0,0
99.99500718,100.1189207,8.96659472,3.796291324,44.2033713,38.02528587,0,0,0,0,0,0,0,0,0,0,0
100.2214359,99.96922838,8.749221422,3.899789632,44.00779185,38.10672077,0,0,0,0,0,0,0,0,0,0,0
100.0499676,100.0129785,8.995776965,3.8579089,43.97969879,37.93887897,0,0,0,0,0,0,0,0,0,0,0
99.9677024,99.86331941,8.783075291,3.910334546,43.92920337,38.00563345,0,0,0,0,0,0,0,0,0,0,0
99.86991482,100.1121612,8.936515802,3.810306195,43.97388045,37.99327383,0,0,0,0,0,0,0,0,0,0,0
99.89321173,100.2208819,8.822788245,3.852204512,44.00931207,38.18108888,0,0,0,0,0,0,0,0,0,0,0
100.027774,100.0602496,8.988789842,3.85732046,44.01103222,38.0684062,0,0,0,0,0,0,0,0,0,0,0
100.0743983,100.0535832,8.828513336,3.667824933,43.8820017,38.12738041,0,0,0,0,0,0,0,0,0,0,0
100.0286311,100.1634147,8.849833983,3.846840121,43.95408903,37.96397588,0,0,0,0,0,0,0,0,0,0,0
99.95372957,99.8167071,9.028006387,3.994118508,43.9304608,37.98035228,0,0,0,0,0,0,0,0,0,0,0
100.1202734,99.96519097,8.903553427,3.803354036,44.07602536,38.02155374,0,0,0,0,0,0,0,0,0,0,0
99.91410237,99.93201213,8.836088304,3.627999299,44.06935459,37.92028401,0,0,0,0,0,0,0,0,0,0,0
99.88878239,99.85935795,8.894143648,3.903633133,44.13435032,38.05178575,0,0,0,0,0,0,0,0,0,0,0
99.92771959,100.0502716,8.898888153,3.897269591,44.08710703,37.94246937,0,0,0,0,0,0,0,0,0,0,0
99.98579847,99.95632812,8.947184186,3.79921349,44.17645324,38.04230943,0,0,0,0,0,0,0,0,0,0,0
99.98371076,100.1465933,8.802048288,3.818006948,43.96178322,38.01255451,0,0,0,0,0,0,0,0,0,0,0
100.0194837,100.0213357,9.038040854,3.65521525,44.14114643,38.12646699,0,0,0,0,0,0,0,0,0,0,0
99.85502081,99.88822715,8.774373568,3.877053058,43.9748572,38.04502369,0,0,0,0,0,0,0,0,0,0,0
99.8987098,99.95511601,8.988208431,3.867381882,43.94238943,37.93023906,0,0,0,0,0,0,0,0,0,0,0
100.0055677,100.0090075,8.86617025,3.702128637,44.04032907,37.90605876,0,0,0,0,0,0,0,0,0,0,0
99.96827479,99.89355009,8.775560616,3.764897459,44.01991858,38.12866137,0,0,0,0,0,0,0,0,0,0,0
100.0042326,99.93623723,8.799941077,3.796944557,43.84113642,38.0121461,0,0,0,0,0,0,0,0,0,0,0
99.87969444,100.1690059,8.650836042,3.912131106,44.12032641,38.14090424,0,0,0,0,0,0,0,0,0,0,0
100.263073,99.78625967,8.754669929,3.738813023,43.85855379,37.97995434,0,0,0,0,0,0,0,0,0,0,0
100.0804831,99.97854888,8.876665183,3.634851976,44.07916618,38.17127951,0,0,0,0,0,0,0,0,0,0,0
99.88999585,100.1507762,8.891966619,3.946150254,43.98206479,37.9201968,0,0,0,0,0,0,0,0,0,0,0
100.0749928,99.97466386,8.809048461,3.706224946,43.99278208,37.89302208,0,0,0,0,0,0,0,0,0,0,0
99.82992581,100.1062093,8.840229842,3.918287448,43.98308312,37.89578501,0,0,0,0,0,0,0,0,0,0,0
99.96392506,100.1098791,8.652388255,3.723452945,44.06612991,38.09042351,0,0,0,0,0,0,0,0,0,0,0
100.201236,99.94742116,8.785254645,3.769706908,44.00731253,38.06221912,0,0,0,0,0,0,0,0,0,0,0
100.0651627,100.0101778,8.927052277,3.706489947,44.11492831,38.0235824,0,0,0,0,0,0,0,0,0,0,0
100.0267451,99.96484665,8.945546205,3.845959384,43.98730918,38.12648923,0,0,0,0,0,0,0,0,0,0,0
100.0402315,100.1068355,8.879180753,3.797876164,43.90344131,38.16880666,0,0,0,0,0,0,0,0,0,0,0
100.0795465,100.0417209,8.958178129,3.781844527,43.84838084,37.96160514,0,0,0,0,0,0,0,0,0,0,0
99.88476391,99.92732291,8.974239537,3.784181048,44.00610842,38.04172019,0,0,0,0,0,0,0,0,0,0,0
99.99504994,100.0138318,8.874593435,3.694510346,44.12444976,38.12163904,0,0,0,0,0,0,0,0,0,0,0
100.1346957,100.1586494,8.942405504,3.704006975,44.11306059,38.05681998,0,0,0,0,0,0,0,0,0,0,0
100.0725463,100.1169924,8.699642419,3.860119053,43.96104685,38.09646167,0,0,0,0,0,0,0,0,0,0,0
100.0329605,99.90800638,8.809782044,3.876181133,43.93652451,38.12365211,0,0,0,0,0,0,0,0,0,0,0
100.1027364,100.0953988,8.766611356,3.786338545,44.09725965,38.01558046,0,0,0,0,0,0,0,0,0,0,0
99.87606357,100.0505443,8.879931619,3.830717331,43.83521443,38.09340997,0,0,0,0,0,0,0,0,0,0,0
100.110519,99.79261147,9.01645297,3.819556801,43.78673456,38.18226833,0,0,0,0,0,0,0,0,0,0,0
100.1806285,100.240726,8.949809596,3.699946455,43.98437636,37.87242171,0,0,0,0,0,0,0,0,0,0,0
100.0371443,99.87235651,8.889858482,3.689578993,44.00686774,37.96400523,0,0,0,0,0,0,0,0,0,0,0
99.9803759,99.91432493,8.887997457,3.666404878,43.97444266,37.9121107,0,0,0,0,0,0,0,0,0,0,0
99.88014232,100.0833756,8.861286087,3.756344466,43.92731295,38.07976225,0,0,0,0,0,0,0,0,0,0,0
100.0698137,100.1124616,8.944127343,3.790844023,43.96245559,38.14905442,0,0,0,0,0,0,0,0,0,0,0
99.96740008,100.1535467,8.891291386,3.827510979,43.77639081,38.09946412,0,0,0,0,0,0,0,0,0,0,0
99.99189128,99.8576493,8.917681233,3.879609726,43.85903263,38.08105941,0,0,0,0,0,0,0,0,0,0,0
100.1406577,99.90121017,8.827909327,3.687126155,44.07440732,38.11324194,0,0,0,0,0,0,0,0,0,0,0
99.96340386,100.0213763,8.949607146,3.821202359,43.93304014,37.97864451,0,0,0,0,0,0,0,0,0,0,0
99.84336726,100.1453693,8.856495259,3.895616725,43.97638263,37.83585598,0,0,0,0,0,0,0,0,0,0,0
100.0577481,99.92915933,8.748548696,3.769724997,43.92847328,38.02974038,0,0,0,0,0,0,0,0,0,0,0
99.91279964,100.0402409,8.82257931,3.689857003,44.008412,37.95948105,0,0,0,0,0,0,0,0,0,0,0
100.035156,99.85080874,8.774961464,3.919643966,44.00529081,37.78339489,0,0,0,0,0,0,0,0,0,0,0
99.952427,99.98138323,8.798277148,3.751417711,44.02775624,38.05175736,0,0,0,0,0,0,0,0,0,0,0
100.0450705,100.0325847,8.868320621,3.857894903,43.94003605,37.99641505,0,0,0,0,0,0,0,0,0,0,0
99.77732269,99.96603667,9.002899113,3.871774616,44.03742397,38.02884878,0,0,0,0,0,0,0,0,0,0,0
99.88651904,100.0593405,9.012623632,3.709003845,43.95185085,38.06946393,0,0,0,0,0,0,0,0,0,0,0
99.96636817,100.1187256,8.82844973,3.853048174,44.0376228,37.79829478,0,0,0,0,0,0,0,0,0,0,0
99.97760897,100.0900906,8.949028884,3.894479204,43.88897061,38.21192728,0,0,0,0,0,0,0,0,0,0,0
100.1033047,99.94604269,8.798528251,3.776680203,43.98948611,37.98759601,0,0,0,0,0,0,0,0,0,0,0
100.0331192,99.83765662,8.787482845,3.732456628,43.96050897,37.85603278,0,0,0,0,0,0,0,0,0,0,0
100.014703,100.0303734,8.794280032,3.801447929,44.02177343,38.04329742,0,0,0,0,0,0,0,0,0,0,0
99.78506447,99.93516386,9.006739603,3.719677449,43.99647451,38.00261468,0,0,0,0,0,0,0,0,0,0,0
99.99075722,100.0626887,8.749365629,3.804976628,44.07617904,37.94860373,0,0,0,0,0,0,0,0,0,0,0
100.048368,100.1384584,9.033035317,3.79839523,43.97036954,38.07453647,0,0,0,0,0,0,0,0,0,0,0
100.1156026,100.0484779,8.793502455,3.794930273,43.97167267,38.08083307,0,0,0,0,0,0,0,0,0,0,0
100.1174457,100.0298447,8.896322009,3.834044412,44.04694921,37.99067242,0,0,0,0,0,0,0,0,0,0,0
99.98226159,99.99831981,8.997007404,3.762851371,44.09377692,38.05715811,0,0,0,0,0,0,0,0,0,0,0
99.97470847,99.88937659,8.902298678,3.74220782,44.08475623,37.93366136,0,0,0,0,0,0,0,0,0,0,0
99.95582697,100.1245813,8.73281089,3.716527028,44.05990722,37.90034117,0,0,0,0,0,0,0,0,0,0,0
99.99352793,100.0455106,8.779452823,4.018170557,44.16888803,38.01803136,0,0,0,0,0,0,0,0,0,0,0
99.84126472,99.8205293,8.719227193,3.94753256,44.12166995,37.95262911,0,0,0,0,0,0,0,0,0,0,0
100.0482383,100.1601924,8.754723794,3.81384874,44.06068596,38.08035177,0,0,0,0,0,0,0,0,0,0,0
100.0348754,100.0125442,8.874377569,3.745068104,43.93898189,38.22030157,0,0,0,0,0,0,0,0,0,0,0
99.94033205,99.98837619,8.72939025,3.876238853,44.06598056,37.99731251,0,0,0,0,0,0,0,0,0,0,0
100.0713046,100.0890294,8.907505056,3.882562336,44.04685674,38.06231197,0,0,0,0,0,0,0,0,0,0,0
100.0574618,99.9586056,8.73325363,3.75108357,44.0712682,38.01946383,0,0,0,0,0,0,0,0,0,0,0
99.94291039,99.94770857,8.680902537,3.844904715,43.8624909,38.02668031,0,0,0,0,0,0,0,0,0,0,0
100.1253985,99.9545455,8.85795726,3.766443294,44.021634,37.88449833,0,0,0,0,0,0,0,0,0,0,0
100.0185713,99.95479064,9.016339974,3.676183236,43.96725754,37.91446241,0,0,0,0,0,0,0,0,0,0,0
99.90599718,100.0629287,8.887778923,3.75087333,44.11037177,38.0403146,0,0,0,0,0,0,0,0,0,0,0
99.980168,99.92904784,8.740464919,3.846099019,44.00258775,37.84335858,0,0,0,0,0,0,0,0,0,0,0
100.1273476,100.1590174,8.934703777,3.912104291,43.95331657,37.84816716,0,0,0,0,0,0,0,0,0,0,0
99.96866722,99.85870229,8.986826049,3.699122814,44.04441693,37.84279455,0,0,0,0,0,0,0,0,0,0,0
100.138986,100.0580966,8.984862372,3.827391642,44.086933,38.1206745,0,0,0,0,0,0,0,0,0,0,0
99.98986952,100.0457127,8.869254325,3.709564307,43.9092891,37.89916851,0,0,0,0,0,0,0,0,0,0,0
99.91300587,100.0156537,9.126226777,3.86448267,43.85860676,37.87336855,0,0,0,0,0,0,0,0,0,0,0
100.030192,100.1342667,8.791907398,3.654916199,44.16084595,37.81517293,0,0,0,0,0,0,0,0,0,0,0
99.93396332,100.0272219,8.744996482,3.69476505,44.21273462,37.88852153,0,0,0,0,0,0,0,0,0,0,0
99.94360231,99.93876665,8.947384607,3.913489015,43.99382587,38.16441686,0,0,0,0,0,0,0,0,0,0,0
